"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 28 12:19:43 UTC 2026","Thu May 28 12:20:18 UTC 2026","34243","","Tests","Cart Tests","","","Add Two Items To Cart","Add backpack and bike light — cart must have 2 items."
"passed","Thu May 28 12:21:31 UTC 2026","Thu May 28 12:21:32 UTC 2026","966","","Tests","Product Tests","","","Products Page Loads After Login","Products page title must say ""Products"" after login."
"passed","Thu May 28 12:21:30 UTC 2026","Thu May 28 12:21:31 UTC 2026","927","","Tests","Login Tests","","","Wrong Password Shows Error","Wrong password must show an error message."
"passed","Thu May 28 12:19:32 UTC 2026","Thu May 28 12:19:43 UTC 2026","11182","","Tests","Cart Tests","","","Add One Item To Cart","Add backpack — cart must have 1 item."
"passed","Thu May 28 12:21:32 UTC 2026","Thu May 28 12:21:33 UTC 2026","1061","","Tests","Product Tests","","","Sort Products Low To High","Sort by price low-to-high — first item must be Sauce Labs Onesie ($7.99)."
"passed","Thu May 28 12:20:52 UTC 2026","Thu May 28 12:20:53 UTC 2026","1406","","Tests","Cart Tests","","","Cart Page Shows Added Items","Items added must appear on the cart page."
"passed","Thu May 28 12:21:29 UTC 2026","Thu May 28 12:21:30 UTC 2026","968","","Tests","Login Tests","","","Locked Out User Cannot Login","Locked user must see an error, not get in."
"passed","Thu May 28 12:21:28 UTC 2026","Thu May 28 12:21:29 UTC 2026","964","","Tests","Login Tests","","","Valid Login Shows Products Page","Standard user logs in — products page must appear."
"passed","Thu May 28 12:21:34 UTC 2026","Thu May 28 12:21:35 UTC 2026","989","","Tests","Product Tests","","","Sort Products A To Z","Default sort A-Z — first item must be Sauce Labs Backpack."
"failed","Thu May 28 12:20:53 UTC 2026","Thu May 28 12:21:28 UTC 2026","34571","","Tests","Cart Tests","","","Complete Checkout Flow","Add item, checkout, finish — order must complete."
"failed","Thu May 28 12:20:18 UTC 2026","Thu May 28 12:20:52 UTC 2026","34275","","Tests","Cart Tests","","","Remove Item From Cart","Add backpack, remove from cart — cart must be empty."
"passed","Thu May 28 12:21:33 UTC 2026","Thu May 28 12:21:34 UTC 2026","1034","","Tests","Product Tests","","","Sort Products High To Low","Sort by price high-to-low — first item must be Sauce Labs Fleece Jacket."
